Sponsor			Link Example									Offer id creation pattern Example													
																									
ActiveSun			http://www.accessibleabsence.com/197f759f1be5da3000									http://www.accessibleabsence.com/197f759f1be5da3000/[dep]													
																									
AddemandDigital_IMS_NEW			http://www.crestend.com/DikKhX9N00TwKBzQP8KyTiaqM9gIxNUsRile_XfAcs7sjwniAxR53ZKzM2G7HmwN4RIjiz5ymWG5QcK8R4s6EQ~~									http://www.crestend.com/DikKhX9N00TwKBzQP8KyTiaqM9gIxNUsRile_XfAcs7sjwniAxR53ZKzM2G7HmwN4RIjiz5ymWG5QcK8R4s6EQ~~/[dep]													
																									
Adgenics			http://draphterpine.com/1980bc3b3b0baa7800									http://draphterpine.com/1980bc3b3b0baa7800/[dep]													
																									
Adverbid_GI			http://korentilius.com/0/0/0/a2aeb242002bc3e48ae47965fb68babd									http://korentilius.com/0/0/0/a2aeb242002bc3e48ae47965fb68babd/[dep]													
																									
cx3			http://slaiciffo.com/?E=gKPlM6Az%2fvABx%2frlygD1csay2ltB7B34&s1=									http://slaiciffo.com/?E=gKPlM6Az%2fvABx%2frlygD1csay2ltB7B34&s1=[dep]													
																									
Digi6media			http://www.wagnad.com/rd/r.php?sid=3&pub=570013									http://www.wagnad.com/rd/r.php?sid=3&pub=570013&c1=[dep]													
																									
GlobalWide_Media			http://track.zupml.com/aff_c?offer_id=8270&aff_id=3669									http://track.zupml.com/aff_c?offer_id=8270&aff_id=3669&aff_sub=[dep]													
																									
IMS_ClickboothNew			http://m.clickbooth.com/c/aff?lid=61265&subid1=&subid2=&subid3=&subid4=&subid5=									http://m.clickbooth.com/c/aff?lid=61265&subid1=[dep]&subid2=&subid3=&subid4=&subid5=													
																									
IMS_Idrive			http://www.tucocray.com/m6kLwPavqtio11UHhghJs92BSc3o45b_pT-TPLP_rGmSbsfPXk4gjvsL07K9I9qdNcPhO3qcl_178xttvOhjBg~~									http://www.tucocray.com/m6kLwPavqtio11UHhghJs92BSc3o45b_pT-TPLP_rGmSbsfPXk4gjvsL07K9I9qdNcPhO3qcl_178xttvOhjBg~~/[dep]													
																									
IMS_Leadintention			http://ga01tkpg.com/?E=A5TrbmH0a1JL83eH9%2fdhO82MSAfGpESh&s1=									http://ga01tkpg.com/?E=A5TrbmH0a1JL83eH9%2fdhO82MSAfGpESh&s1=[dep]													
																									
IMS_Madrivo_New			http://www.hiscaful.com/ajGd92syO9WrUieABHVvAJPI0Mo8NnGQ9xG20GtDqmg2gJ30tFpuaNpjvprK6fLsJIGdHs3ZxWZkEYVZgrsC8g~~									http://www.hiscaful.com/ajGd92syO9WrUieABHVvAJPI0Mo8NnGQ9xG20GtDqmg2gJ30tFpuaNpjvprK6fLsJIGdHs3ZxWZkEYVZgrsC8g~~/[dep													
																									
IMS_Spheredigitalnetworks			http://capererlimiter.com/17617b6ebc34a149800									http://capererlimiter.com/17617b6ebc34a149800/[dep]													
																									
IMS_TrafficGoat_BlueCAds			http://cleansqrtweb.com/JXK9KqLc-uBTBhSqgeMCASHKjwQBoGjjWF-audP6SK9XRZwLMn4kWYcoTmZq_K1Smy-luhQgw3D4G4Ja_vzllw~~									http://cleansqrtweb.com/JXK9KqLc-uBTBhSqgeMCASHKjwQBoGjjWF-audP6SK9XRZwLMn4kWYcoTmZq_K1Smy-luhQgw3D4G4Ja_vzllw~~/[dep]													
																									
IMS_Trailblaze			http://remoldunbar.com/?lnwk=Bo5CjMCKVsDIWh4UEg5dFNM4wdpH%2b1X%2f&s1=									http://remoldunbar.com/?lnwk=Bo5CjMCKVsDIWh4UEg5dFNM4wdpH%2b1X%2f&s1=[dep]													
																									
IMS_vitaldigital			http://trkvdg.com/?E=WAfqFPE4a53kQTKeVhzzrg%3d%3d&s1=									http://trkvdg.com/?E=WAfqFPE4a53kQTKeVhzzrg%3d%3d&s1=[dep]													
																									
In_W4_new			http://clovehitchstar.com?cid=4223&pub=107669&sid1=&sid2=&sid3=&sid4=									http://clovehitchstar.com?cid=4223&pub=107669&sid1=[dep]&sid2=&sid3=&sid4=													
																									
intimateInteractive			http://www.itatracker.com/rd/r.php?sid=1110&pub=401245									http://www.itatracker.com/rd/r.php?sid=1110&pub=401245&c2=[dep]													
																									
LuckyPacific			http://luckypacificlinks.com/?E=t%2bnOfYpm7KgJ7QE15JOnnTwjbo5KHy6G									http://luckypacificlinks.com/?E=t%2bnOfYpm7KgJ7QE15JOnnTwjbo5KHy6G&s1=[dep]													
																									
M7Network			http://weboftrk.com/?a=9&c=68&s1=									http://weboftrk.com/?a=9&c=68&s1=[dep]													
																									
LMM CPM (Virtual Sponsor)			http://certifiedresponsenetwork.net/rf.php?linkid=3537333631&affid=36									http://certifiedresponsenetwork.net/rf.php?linkid=3537333631&affid=36[dep													
																									
